0,7,12,22
0,1,18,24
1,8,13,23
1,2,19,25
2,9,14,24
0,2,3,20
3,10,15,25
1,3,4,21
0,4,11,16
2,4,5,22
1,5,12,17
3,5,6,23
2,6,13,18
4,6,7,24
3,7,14,19
5,7,8,25
4,8,15,20
0,6,8,9
5,9,16,21
1,7,9,10
6,10,17,22
2,8,10,11
7,11,18,23
3,9,11,12
8,12,19,24
4,10,12,13
9,13,20,25
5,11,13,14
0,10,14,21
6,12,14,15
1,11,15,22
7,13,15,16
2,12,16,23
8,14,16,17
3,13,17,24
9,15,17,18
4,14,18,25
10,16,18,19
0,5,15,19
11,17,19,20
1,6,16,20
12,18,20,21
2,7,17,21
13,19,21,22
3,8,18,22
14,20,22,23
4,9,19,23
15,21,23,24
5,10,20,24
16,22,24,25
6,11,21,25
0,17,23,25
