0,17,19,20
0,4,16,22
1,18,20,21
1,5,17,23
2,19,21,22
2,6,18,24
3,20,22,23
3,7,19,25
4,21,23,24
4,8,20,26
5,22,24,25
0,5,9,21
6,23,25,26
1,6,10,22
0,7,24,26
2,7,11,23
0,1,8,25
3,8,12,24
1,2,9,26
4,9,13,25
0,2,3,10
5,10,14,26
1,3,4,11
0,6,11,15
2,4,5,12
1,7,12,16
3,5,6,13
2,8,13,17
4,6,7,14
3,9,14,18
5,7,8,15
4,10,15,19
6,8,9,16
5,11,16,20
7,9,10,17
6,12,17,21
8,10,11,18
7,13,18,22
9,11,12,19
8,14,19,23
10,12,13,20
9,15,20,24
11,13,14,21
10,16,21,25
12,14,15,22
11,17,22,26
13,15,16,23
0,12,18,23
14,16,17,24
1,13,19,24
15,17,18,25
2,14,20,25
16,18,19,26
3,15,21,26
