11,22,14,3
13,1,17,5
15,23,19,2
2,22,0,4
1,22,19,20
7,0,3,12
16,23,20,14
12,15,21,14
4,24,3,8
16,24,6,0
18,15,9,3
6,9,10,22
18,12,22,8
10,15,16,7
3,17,16,19
11,9,23,4
23,0,1,18
9,8,19,17
10,21,8,23
8,6,15,1
5,22,16,21
17,6,2,14
8,11,16,2
9,20,21,0
1,14,4,10
10,18,2,5
14,24,5,9
19,7,18,14
5,7,8,20
0,13,14,8
2,3,1,21
12,24,20,2
23,7,22,17
9,2,7,13
13,15,22,24
13,6,12,23
24,21,18,17
13,11,21,19
20,6,11,18
5,6,3,23
15,5,11,0
5,12,19,4
9,12,1,16
7,11,24,1
12,10,17,11
10,13,20,3
4,7,6,21
20,17,4,15
16,4,18,13
0,24,19,10
