0,20,23,25
0,13,21,31
1,21,24,26
0,1,14,22
2,22,25,27
1,2,15,23
3,23,26,28
2,3,16,24
4,24,27,29
3,4,17,25
5,25,28,30
4,5,18,26
6,26,29,31
5,6,19,27
0,7,27,30
6,7,20,28
1,8,28,31
7,8,21,29
0,2,9,29
8,9,22,30
1,3,10,30
9,10,23,31
2,4,11,31
0,10,11,24
0,3,5,12
1,11,12,25
1,4,6,13
2,12,13,26
2,5,7,14
3,13,14,27
3,6,8,15
4,14,15,28
4,7,9,16
5,15,16,29
5,8,10,17
6,16,17,30
6,9,11,18
7,17,18,31
7,10,12,19
0,8,18,19
8,11,13,20
1,9,19,20
9,12,14,21
2,10,20,21
10,13,15,22
3,11,21,22
11,14,16,23
4,12,22,23
12,15,17,24
5,13,23,24
13,16,18,25
6,14,24,25
14,17,19,26
7,15,25,26
15,18,20,27
8,16,26,27
16,19,21,28
9,17,27,28
17,20,22,29
10,18,28,29
18,21,23,30
11,19,29,30
19,22,24,31
12,20,30,31
