0,1,4,20
0,5,15,26
1,2,5,21
1,6,16,27
2,3,6,22
0,2,7,17
3,4,7,23
1,3,8,18
4,5,8,24
2,4,9,19
5,6,9,25
3,5,10,20
6,7,10,26
4,6,11,21
7,8,11,27
5,7,12,22
0,8,9,12
6,8,13,23
1,9,10,13
7,9,14,24
2,10,11,14
8,10,15,25
3,11,12,15
9,11,16,26
4,12,13,16
10,12,17,27
5,13,14,17
0,11,13,18
6,14,15,18
1,12,14,19
7,15,16,19
2,13,15,20
8,16,17,20
3,14,16,21
9,17,18,21
4,15,17,22
10,18,19,22
5,16,18,23
11,19,20,23
6,17,19,24
12,20,21,24
7,18,20,25
13,21,22,25
8,19,21,26
14,22,23,26
9,20,22,27
15,23,24,27
0,10,21,23
0,16,24,25
1,11,22,24
1,17,25,26
2,12,23,25
2,18,26,27
3,13,24,26
0,3,19,27
4,14,25,27
